k_level3,k_level4,replications,avg_waiting_time,p95_waiting_time,avg_time_in_system,level3_avg_wait,level4_avg_wait,level3_service_level,level4_service_level,doctor_utilization,nurse_utilization,avg_waiting_time_sd
26.0,60.0,3,85.8533,80.6067,1747.4867,12.6669,78.2409,0.9855,0.909,0.9807,0.6318,3.5373
28.0,60.0,3,85.9467,80.1767,1752.3067,12.8255,78.0157,0.9862,0.9007,0.9809,0.6318,3.7304
30.0,60.0,3,85.9467,80.1767,1752.3067,12.8255,78.0157,0.9862,0.9007,0.9809,0.6318,3.7304
24.0,60.0,3,86.4033,81.86,1766.9033,13.3231,78.9183,0.9816,0.9019,0.9804,0.6315,3.7278
26.0,55.0,3,86.6,86.39,1745.45,12.8762,83.4335,0.9819,0.8833,0.9809,0.632,3.5388
28.0,55.0,3,86.6333,87.3567,1764.5733,12.6709,84.0382,0.9846,0.8798,0.9806,0.6317,3.7168
30.0,55.0,3,86.6333,87.3567,1764.5733,12.6709,84.0382,0.9846,0.8798,0.9806,0.6317,3.7168
22.0,60.0,3,86.9633,80.0767,1749.2033,14.3609,78.5711,0.9777,0.9032,0.9804,0.6318,3.5842
24.0,55.0,3,86.9967,88.5133,1763.6767,13.1509,84.3557,0.9826,0.8785,0.9809,0.6315,3.593
26.0,50.0,3,87.0533,89.6,1750.43,12.6996,87.4221,0.986,0.8787,0.9806,0.6317,3.7378
28.0,50.0,3,87.0667,90.6467,1748.5667,12.679,87.6636,0.985,0.8717,0.9804,0.6318,3.6477
30.0,50.0,3,87.0667,90.6467,1748.5667,12.679,87.6636,0.985,0.8717,0.9804,0.6318,3.6477
24.0,50.0,3,87.2333,90.05,1748.82,13.0635,87.1265,0.9844,0.8739,0.9809,0.6318,3.7408
28.0,45.0,3,87.6667,95.9033,1754.12,12.5705,92.4166,0.9872,0.8482,0.9803,0.6313,3.7594
30.0,45.0,3,87.6667,95.9033,1754.12,12.5705,92.4166,0.9872,0.8482,0.9803,0.6313,3.7594
26.0,45.0,3,87.7133,96.4167,1751.5833,12.767,92.0419,0.9839,0.8552,0.9799,0.6314,3.7808
22.0,55.0,3,87.9633,87.3133,1770.05,14.503,83.9116,0.9724,0.8844,0.9795,0.6305,3.6146
24.0,45.0,3,87.9733,94.8033,1758.19,13.1213,92.2009,0.9821,0.8517,0.9799,0.6313,3.5945
22.0,50.0,3,88.0133,91.3933,1750.7333,14.1737,87.4901,0.9784,0.8728,0.9802,0.6316,3.6103
20.0,60.0,3,88.1233,80.0367,1739.4867,16.163,78.3202,0.9676,0.9031,0.9815,0.6322,3.6422
26.0,40.0,3,88.1267,99.4233,1747.7567,12.6927,96.0777,0.9874,0.8483,0.9808,0.6317,3.7767
28.0,40.0,3,88.1933,98.8933,1746.5267,12.7391,96.4969,0.9853,0.8389,0.9807,0.6319,3.8346
30.0,40.0,3,88.1933,98.8933,1746.5267,12.7391,96.4969,0.9853,0.8389,0.9807,0.6319,3.8346
24.0,40.0,3,88.51,100.56,1755.7767,13.1183,96.1732,0.9809,0.8459,0.98,0.6313,3.4176
26.0,35.0,3,88.6967,103.62,1734.5567,12.6431,101.283,0.9856,0.8074,0.9806,0.6322,3.5551
28.0,35.0,3,88.7433,102.93,1739.91,12.6842,101.1943,0.9869,0.8157,0.9807,0.6319,3.6075
30.0,35.0,3,88.7433,102.93,1739.91,12.6842,101.1943,0.9869,0.8157,0.9807,0.6319,3.6075
22.0,45.0,3,88.78,94.5633,1756.5433,14.4831,91.9073,0.9751,0.8553,0.9805,0.6315,3.4941
24.0,35.0,3,89.1033,103.1,1752.3367,13.132,100.7328,0.9825,0.8169,0.9808,0.6316,3.1282
20.0,55.0,3,89.1367,87.6533,1756.0533,16.3433,84.4594,0.957,0.8774,0.98,0.631,3.5968
22.0,40.0,3,89.3067,100.28,1738.2033,14.3172,97.3198,0.9777,0.8331,0.9804,0.6322,3.4708
28.0,30.0,3,89.3833,108.88,1740.1933,12.7787,105.6126,0.9832,0.7888,0.9808,0.6319,3.2428
30.0,30.0,3,89.3833,108.88,1740.1933,12.7787,105.6126,0.9832,0.7888,0.9808,0.6319,3.2428
20.0,50.0,3,89.4067,92.0633,1747.3633,16.1339,88.4022,0.9671,0.8658,0.9806,0.6316,3.3598
26.0,30.0,3,89.5467,108.7967,1744.7967,12.8153,106.3698,0.9842,0.7842,0.9807,0.6317,3.4581
24.0,30.0,3,89.68,111.4133,1738.75,12.9696,107.0037,0.9851,0.7655,0.9806,0.6318,3.312
18.0,60.0,3,89.81,81.2767,1756.2833,18.4592,79.2906,0.9361,0.889,0.9804,0.6314,3.7984
18.0,55.0,3,89.8667,84.77,1733.8133,18.0776,82.7775,0.9476,0.8938,0.9807,0.6322,3.4876
22.0,35.0,3,89.9833,104.94,1750.9367,14.3675,101.7378,0.9766,0.8051,0.9802,0.6314,3.665
26.0,25.0,3,90.09,113.4467,1740.3733,12.8184,110.7988,0.9837,0.7433,0.9804,0.6319,3.6578
28.0,25.0,3,90.09,113.5133,1738.0767,12.8024,110.814,0.9817,0.7527,0.9803,0.6317,3.6857
30.0,25.0,3,90.09,113.5133,1738.0767,12.8024,110.814,0.9817,0.7527,0.9803,0.6317,3.6857
20.0,45.0,3,90.11,95.41,1750.0067,16.2866,92.7185,0.9615,0.8529,0.9805,0.6316,3.7388
24.0,25.0,3,90.2767,113.2633,1745.0567,13.0961,110.5413,0.9825,0.7702,0.9809,0.6316,3.1631
28.0,20.0,3,90.46,118.1367,1734.0333,12.6324,115.2888,0.9854,0.7165,0.9807,0.6321,3.4352
30.0,20.0,3,90.46,118.1367,1734.0333,12.6324,115.2888,0.9854,0.7165,0.9807,0.6321,3.4352
