k_level3,k_level4,replications,avg_waiting_time,p95_waiting_time,avg_time_in_system,level3_avg_wait,level4_avg_wait,level3_service_level,level4_service_level,doctor_utilization,nurse_utilization,avg_waiting_time_sd
22.0,30.0,3,90.5567,108.3533,1743.04,14.3819,106.2221,0.9754,0.7783,0.9806,0.6317,3.416
26.0,20.0,3,90.5633,118.8167,1732.8133,12.5876,115.9064,0.9854,0.7084,0.9811,0.632,3.1659
20.0,40.0,3,90.5933,99.6567,1744.1333,16.2526,97.1097,0.9643,0.8331,0.9798,0.6313,3.4424
18.0,50.0,3,90.6133,90.3667,1746.29,17.9727,88.1405,0.9518,0.8623,0.9807,0.6316,3.6912
16.0,60.0,3,90.8033,80.4567,1745.9833,20.2227,78.4126,0.916,0.9054,0.9805,0.6317,3.7696
24.0,20.0,3,90.95,118.9733,1738.13,13.0687,116.2377,0.983,0.706,0.9807,0.6317,3.13
20.0,35.0,3,91.1367,105.92,1733.4733,16.2194,102.2433,0.9694,0.7924,0.9806,0.6322,3.5467
22.0,25.0,3,91.1733,113.3833,1748.8667,14.3984,110.6243,0.9753,0.7469,0.981,0.6317,3.153
16.0,55.0,3,91.27,85.44,1735.2633,20.1147,83.2139,0.9277,0.8891,0.9808,0.6319,3.7252
18.0,45.0,3,91.29,95.2767,1741.7867,18.2614,92.6484,0.9423,0.8447,0.9804,0.6317,3.6172
26.0,15.0,3,91.47,124.78,1750.8333,12.8044,121.0998,0.9865,0.6407,0.9805,0.6313,3.1014
28.0,15.0,3,91.47,124.3,1759.8167,12.805,120.6403,0.9861,0.6443,0.9804,0.6312,3.1875
30.0,15.0,3,91.47,124.3,1759.8167,12.805,120.6403,0.9861,0.6443,0.9804,0.6312,3.1875
24.0,15.0,3,91.6133,123.6533,1734.8867,13.0396,121.4933,0.9853,0.6467,0.9808,0.6316,3.2501
22.0,20.0,3,91.69,120.42,1732.4,14.2593,116.3065,0.98,0.6932,0.9809,0.6321,3.2736
16.0,50.0,3,91.8133,92.9533,1736.6667,19.916,88.1772,0.9303,0.8715,0.9809,0.6318,3.4284
20.0,30.0,3,91.8267,110.8467,1752.5767,16.1663,106.8088,0.9673,0.7701,0.981,0.6315,3.2756
18.0,40.0,3,91.8367,99.4933,1734.9633,18.2068,97.1366,0.9494,0.8226,0.9805,0.6319,3.4768
26.0,10.0,3,91.9133,127.0767,1743.8867,12.7258,124.8301,0.9844,0.5744,0.9806,0.6315,3.4915
14.0,60.0,3,91.97,80.59,1726.9333,22.0377,79.405,0.8948,0.8913,0.9806,0.632,3.4531
28.0,10.0,3,92.01,128.3433,1747.65,12.7851,125.1951,0.984,0.5707,0.9798,0.6312,3.6571
30.0,10.0,3,92.01,128.3433,1747.65,12.7851,125.1951,0.984,0.5707,0.9798,0.6312,3.6571
24.0,10.0,3,92.1467,127.33,1744.6033,13.1338,124.7964,0.9851,0.5637,0.9808,0.6316,3.1831
22.0,15.0,3,92.2567,123.56,1738.0933,14.2494,120.2861,0.9793,0.6559,0.9809,0.6318,3.4593
20.0,25.0,3,92.2867,114.6867,1741.6167,16.0673,111.4943,0.9682,0.7514,0.9805,0.6317,3.0854
26.0,5.0,3,92.5367,131.7133,1732.46,12.8472,129.8757,0.984,0.4109,0.9809,0.6316,3.4614
18.0,35.0,3,92.5433,103.64,1745.8567,18.3131,101.5193,0.9485,0.811,0.9806,0.6315,3.3909
16.0,45.0,3,92.55,95.19,1727.1067,20.1382,93.0148,0.9257,0.8389,0.9806,0.6319,3.808
24.0,5.0,3,92.55,131.0867,1719.2133,13.1165,128.9442,0.9828,0.4107,0.9804,0.632,3.4386
14.0,55.0,3,92.6967,87.0467,1738.4267,22.0336,83.9344,0.8929,0.8763,0.981,0.6316,3.8773
28.0,5.0,3,92.83,133.01,1747.0,13.0614,130.1844,0.9819,0.4146,0.9809,0.6316,3.4393
30.0,5.0,3,92.83,133.01,1747.0,13.0614,130.1844,0.9819,0.4146,0.9809,0.6316,3.4393
22.0,10.0,3,93.0267,128.4367,1742.4133,14.3664,125.2474,0.9748,0.5672,0.9806,0.6316,3.6795
20.0,20.0,3,93.0633,119.29,1741.34,16.2938,116.0759,0.9656,0.7014,0.9803,0.6315,3.4232
14.0,50.0,3,93.07,91.0767,1734.4233,21.8095,88.5761,0.9005,0.8564,0.9807,0.6318,3.4507
18.0,30.0,3,93.15,109.8867,1745.3933,18.124,107.3472,0.9487,0.7748,0.9806,0.6315,3.2043
16.0,40.0,3,93.2067,99.8533,1738.8433,20.0917,97.7347,0.9288,0.8191,0.9803,0.6316,3.6223
24.0,0.0,3,93.2633,137.31,1723.5733,13.1817,134.4584,0.9819,0.0303,0.9806,0.6321,3.3193
12.0,60.0,3,93.2667,79.4467,1737.7867,24.0241,78.5765,0.8437,0.896,0.9806,0.6314,3.8274
28.0,0.0,3,93.3133,137.37,1748.45,12.922,134.7182,0.9819,0.0315,0.9801,0.6315,3.4392
30.0,0.0,3,93.3133,137.37,1748.45,12.922,134.7182,0.9819,0.0315,0.9801,0.6315,3.4392
26.0,0.0,3,93.3233,137.89,1744.4933,12.9301,134.9462,0.9851,0.0304,0.9804,0.6316,3.4391
18.0,25.0,3,93.41,113.4567,1738.9667,18.0219,110.406,0.9503,0.748,0.981,0.6318,3.31
22.0,5.0,3,93.57,132.94,1734.8967,14.3657,129.8497,0.9777,0.4271,0.9813,0.632,3.5089
20.0,15.0,3,93.5833,124.9467,1723.35,16.1732,121.6529,0.9671,0.6338,0.981,0.6324,3.1577
16.0,35.0,3,93.6967,104.8733,1746.2733,19.9937,101.7943,0.9344,0.8004,0.9803,0.6313,3.262
14.0,45.0,3,93.9533,94.7867,1739.8233,22.1335,93.4183,0.8948,0.8366,0.9804,0.6316,3.3902
12.0,55.0,3,94.05,86.5133,1736.1833,24.0473,84.0396,0.8495,0.8728,0.9806,0.6315,3.7551
20.0,10.0,3,94.1767,128.92,1732.91,16.1403,125.6935,0.9658,0.5475,0.9811,0.6318,3.4116
22.0,0.0,3,94.21,137.3667,1733.3767,14.3605,134.7949,0.9743,0.0292,0.9804,0.6316,3.5223
18.0,20.0,3,94.32,120.4533,1741.55,18.1509,116.3292,0.9469,0.6908,0.9807,0.6315,3.38
14.0,40.0,3,94.45,100.85,1734.28,22.0259,97.7003,0.8936,0.8144,0.9799,0.6315,3.3881
16.0,30.0,3,94.4767,111.31,1748.28,20.0235,107.8968,0.9244,0.769,0.9803,0.6312,3.288
12.0,50.0,3,94.58,91.0233,1748.7133,23.9486,88.5339,0.8485,0.8645,0.9805,0.6314,3.76
10.0,60.0,3,94.5867,79.4,1726.7733,26.0649,79.0911,0.7855,0.889,0.9808,0.6322,3.5911
18.0,15.0,3,94.81,123.61,1735.64,18.079,120.8434,0.955,0.6429,0.981,0.6317,3.281
20.0,5.0,3,94.9567,133.39,1732.95,16.3802,130.4327,0.9616,0.3956,0.9804,0.6318,3.1417
14.0,35.0,3,95.0133,105.1633,1723.6167,22.0809,102.3539,0.8852,0.7923,0.9805,0.6317,3.2575
12.0,45.0,3,95.0767,95.8967,1732.6067,23.7846,93.9316,0.8539,0.8412,0.9807,0.6318,3.5753
10.0,55.0,3,95.17,85.91,1732.26,25.8881,84.0173,0.7961,0.875,0.9801,0.6314,3.628
16.0,25.0,3,95.19,115.0333,1747.9767,20.187,112.2351,0.9196,0.7376,0.9806,0.6313,3.1489
20.0,0.0,3,95.36,138.7433,1726.2267,16.139,135.2741,0.9711,0.0292,0.981,0.632,3.5692
18.0,10.0,3,95.45,129.01,1740.1433,18.0652,125.6921,0.9509,0.5391,0.9804,0.6316,3.6775
14.0,30.0,3,95.64,110.5267,1719.8,21.909,108.1266,0.9034,0.7572,0.9811,0.6323,3.5174
16.0,20.0,3,95.68,121.2333,1733.2433,20.1608,117.1072,0.9244,0.6907,0.9809,0.6319,3.3363
12.0,40.0,3,95.7267,99.4833,1731.0333,23.9198,97.6472,0.8609,0.8178,0.9803,0.6317,3.4906
10.0,50.0,3,95.8367,91.2367,1732.0767,25.9311,88.8921,0.7896,0.8552,0.9807,0.6317,3.8228
8.0,60.0,3,95.8533,80.7367,1737.2567,27.9525,78.6359,0.7149,0.9006,0.9809,0.6317,3.7894
18.0,5.0,3,96.1467,133.9433,1725.5933,18.1441,130.8867,0.9495,0.4132,0.9798,0.6313,3.4311
14.0,25.0,3,96.2067,114.9533,1724.3067,21.9169,112.0727,0.8978,0.7328,0.9806,0.6317,3.3238
12.0,35.0,3,96.2367,105.01,1729.26,23.8745,102.8678,0.8522,0.7887,0.9813,0.632,3.576
16.0,15.0,3,96.32,126.46,1741.9,20.026,121.9522,0.9275,0.6255,0.9803,0.6312,3.4849
8.0,55.0,3,96.46,84.3267,1731.53,27.8908,83.9246,0.72,0.8797,0.9803,0.6317,3.7706
10.0,45.0,3,96.5467,95.38,1747.4733,25.9364,93.6119,0.7956,0.8365,0.9803,0.6312,3.8291
18.0,0.0,3,96.7633,138.4567,1726.62,18.1702,135.2778,0.9456,0.0292,0.9811,0.6317,3.635
16.0,10.0,3,96.96,130.2067,1731.5,20.347,125.8062,0.9169,0.5486,0.9808,0.6317,3.5059
14.0,20.0,3,96.97,121.3767,1720.92,22.1175,117.4941,0.8912,0.6805,0.9809,0.632,3.0955
8.0,50.0,3,97.0433,89.15,1724.38,27.8964,88.8922,0.7094,0.8517,0.981,0.6322,3.8624
10.0,40.0,3,97.06,100.11,1736.0267,26.0263,97.7252,0.7868,0.8202,0.9802,0.6315,3.5807
12.0,30.0,3,97.23,111.0867,1734.3167,24.0965,108.2699,0.8469,0.7643,0.9806,0.6313,3.2035
6.0,60.0,3,97.3,80.4833,1728.0767,30.0983,79.1968,0.5979,0.8913,0.9806,0.6317,3.6985
16.0,5.0,3,97.3967,133.32,1726.6667,20.2271,130.2014,0.9174,0.4074,0.9801,0.6315,3.5207
10.0,35.0,3,97.5233,104.67,1719.4467,25.8752,102.7983,0.797,0.7876,0.981,0.6319,3.4141
14.0,15.0,3,97.5533,125.1333,1736.0933,22.1056,121.4019,0.89,0.6349,0.9799,0.6312,3.2752
12.0,25.0,3,97.5967,115.8967,1714.14,24.1339,112.7018,0.847,0.7282,0.9808,0.632,3.2453
8.0,45.0,3,97.8167,95.4233,1727.1433,28.0035,93.793,0.6993,0.8283,0.9806,0.6317,3.5786
6.0,55.0,3,97.8433,85.36,1732.6833,29.9396,84.2858,0.6062,0.8774,0.9807,0.6316,3.6198
14.0,10.0,3,98.0467,130.7,1726.7767,22.0029,126.46,0.8956,0.5415,0.981,0.6318,3.1134
12.0,20.0,3,98.1167,120.3867,1718.9267,23.8508,117.4559,0.8549,0.6897,0.9804,0.6316,3.3561
16.0,0.0,3,98.1433,139.1433,1735.8533,20.1854,135.9362,0.9238,0.0304,0.9805,0.6316,3.1216
8.0,40.0,3,98.1867,99.76,1722.8167,27.7845,98.3045,0.7222,0.8097,0.9807,0.6318,3.4406
10.0,30.0,3,98.2767,111.17,1714.4667,25.964,108.2916,0.799,0.7619,0.9805,0.6318,3.1631
6.0,50.0,3,98.3633,89.4967,1734.09,29.8858,88.8051,0.6067,0.8633,0.9809,0.6317,3.8763
4.0,60.0,3,98.54,79.9233,1741.8133,31.8758,79.1372,0.4661,0.8983,0.9808,0.6314,3.687
14.0,5.0,3,98.5467,134.2867,1727.6133,21.9698,130.5788,0.8966,0.404,0.9811,0.632,3.1618
12.0,15.0,3,98.72,125.2633,1728.1167,23.909,121.483,0.8548,0.636,0.981,0.6316,3.0469
10.0,25.0,3,98.9833,115.95,1726.92,26.0551,112.9495,0.7857,0.7223,0.9808,0.6317,3.2575
8.0,35.0,3,99.0567,104.5,1736.5433,27.9535,103.132,0.7137,0.7968,0.9805,0.6312,3.7621
4.0,55.0,3,99.0767,86.0367,1725.0933,31.8071,84.5815,0.4747,0.8691,0.9808,0.6316,4.0126
6.0,45.0,3,99.17,97.87,1736.4833,29.8616,94.4788,0.6153,0.8248,0.9805,0.6313,3.6821
14.0,0.0,3,99.3167,139.31,1722.28,22.0175,136.1559,0.894,0.0315,0.9809,0.6319,3.2626
12.0,10.0,3,99.3433,130.6,1719.4667,23.9917,126.6348,0.8524,0.5509,0.9805,0.6321,3.1565
10.0,20.0,3,99.6567,121.8667,1728.0633,26.0097,118.0163,0.7926,0.6757,0.9802,0.6313,3.2919
2.0,60.0,3,99.6733,80.0233,1721.3967,33.8455,78.9753,0.2809,0.8878,0.981,0.6321,3.9318
8.0,30.0,3,99.7167,110.2567,1727.98,27.9913,108.6817,0.7022,0.7689,0.9809,0.6317,3.5806
6.0,40.0,3,99.7233,103.2033,1728.3167,29.8712,99.1299,0.6086,0.805,0.9807,0.6316,3.6998
4.0,50.0,3,99.8433,90.2233,1733.56,31.9963,89.4613,0.4474,0.8576,0.9804,0.6314,3.7958
12.0,5.0,3,99.9867,135.71,1719.33,24.0042,131.2146,0.8439,0.3758,0.9807,0.6319,3.1705
10.0,15.0,3,100.04,125.9633,1720.3333,25.8865,122.206,0.7946,0.6279,0.9809,0.6319,3.294
6.0,35.0,3,100.11,106.0367,1715.5333,29.7137,103.4194,0.619,0.7829,0.9806,0.632,3.5173
8.0,25.0,3,100.13,115.2033,1730.8367,27.8589,112.7361,0.7144,0.7304,0.9809,0.6314,3.392
2.0,55.0,3,100.3333,85.1667,1728.58,33.7499,84.0402,0.2838,0.8808,0.9809,0.6317,3.4131
4.0,45.0,3,100.3333,97.0767,1730.5033,31.722,94.6012,0.4653,0.8295,0.9809,0.6317,3.6013
12.0,0.0,3,100.6133,139.0833,1731.02,23.9601,135.8156,0.8463,0.0315,0.9799,0.6311,3.3215
10.0,10.0,3,100.68,130.25,1723.6867,25.9196,126.4426,0.7913,0.552,0.981,0.6315,3.1832
0.0,60.0,3,100.93,81.12,1717.9833,35.7671,79.5277,0.0254,0.896,0.9811,0.6322,3.8431
6.0,30.0,3,100.95,110.34,1709.3,30.0367,108.7436,0.6034,0.7572,0.9803,0.6321,3.6441
8.0,20.0,3,100.9867,121.4133,1729.9533,27.9777,118.3907,0.7025,0.6816,0.9814,0.6317,3.1896
4.0,40.0,3,101.0467,101.23,1722.9733,32.0226,99.0135,0.4593,0.8179,0.9808,0.6318,3.8774
2.0,50.0,3,101.0833,89.7933,1732.7767,33.9924,88.7741,0.2735,0.8622,0.9809,0.6317,3.4684
10.0,5.0,3,101.26,135.55,1715.4,25.8955,131.6352,0.7954,0.3863,0.9806,0.6318,3.3148
8.0,15.0,3,101.42,126.7733,1732.22,27.7997,122.361,0.715,0.6208,0.9803,0.6311,3.6003
4.0,35.0,3,101.4467,106.71,1712.2167,31.7528,103.8757,0.4629,0.7864,0.981,0.6321,3.4563
6.0,25.0,3,101.5367,115.3233,1722.8867,29.9022,113.3974,0.5978,0.7281,0.9807,0.6317,3.6501
0.0,55.0,3,101.5433,86.0133,1716.3267,35.6651,84.6667,0.0254,0.875,0.9809,0.632,3.8686
2.0,45.0,3,101.6233,97.6467,1723.72,33.8178,94.2216,0.2783,0.8377,0.9815,0.632,3.7262
10.0,0.0,3,101.8067,140.2167,1721.4167,25.892,135.658,0.7933,0.0315,0.9816,0.6319,3.4415
6.0,20.0,3,101.9633,120.0,1713.5833,29.7871,117.7758,0.611,0.6966,0.9813,0.6321,3.3507
8.0,10.0,3,102.06,130.0267,1724.0333,27.8994,126.9295,0.7062,0.5614,0.9805,0.6315,3.3771
0.0,50.0,3,102.2267,89.9767,1721.37,35.6843,89.6346,0.0256,0.854,0.9803,0.6317,3.6758
4.0,30.0,3,102.2633,111.6833,1704.39,31.8889,109.4031,0.4619,0.7445,0.9803,0.6317,3.6505
8.0,5.0,3,102.4367,134.45,1722.7167,27.8998,130.2175,0.7059,0.4061,0.9806,0.6315,3.7042
2.0,40.0,3,102.44,103.49,1720.86,33.8425,99.8229,0.2809,0.8097,0.9803,0.6314,3.7653
6.0,15.0,3,102.6033,125.0667,1716.95,29.8428,122.6489,0.6114,0.6418,0.9814,0.6322,3.1036
2.0,35.0,3,102.62,106.2633,1709.61,33.7439,103.3107,0.2691,0.805,0.981,0.6323,3.7013
4.0,25.0,3,102.8867,116.7733,1722.96,31.8491,113.6376,0.4693,0.7153,0.9809,0.6314,3.4988
0.0,45.0,3,102.9867,97.32,1722.9267,35.6958,95.035,0.0259,0.8248,0.9806,0.6318,3.6588
8.0,0.0,3,103.03,138.8067,1695.4367,27.9174,135.8849,0.7083,0.0292,0.9812,0.6324,3.4347
6.0,10.0,3,103.1633,130.7733,1712.2367,29.9052,126.5096,0.6072,0.552,0.9808,0.632,3.433
0.0,40.0,3,103.3633,103.6433,1714.45,35.5066,99.7615,0.0256,0.8062,0.9805,0.6319,3.7805
4.0,20.0,3,103.4067,121.7767,1713.0167,31.8963,117.7749,0.4584,0.6734,0.981,0.6318,3.4843
2.0,30.0,3,103.4933,111.19,1712.0933,33.7777,109.2608,0.2784,0.748,0.9803,0.6318,3.5827
6.0,5.0,3,103.7567,135.19,1710.4233,29.8209,131.4002,0.6121,0.4015,0.9801,0.6317,3.5522
4.0,15.0,3,103.9467,126.1167,1706.67,31.7822,122.9027,0.4707,0.6199,0.9811,0.6322,3.1973
2.0,25.0,3,103.98,115.51,1716.7067,33.7866,112.9111,0.2752,0.727,0.9808,0.6317,3.6158
0.0,35.0,3,104.1633,107.9967,1714.8533,35.7228,104.5266,0.0265,0.7782,0.9811,0.6318,3.8492
6.0,0.0,3,104.45,139.4633,1720.5,29.8891,135.8717,0.6072,0.0292,0.9809,0.6317,3.1965
4.0,10.0,3,104.54,130.57,1698.09,31.8974,127.4568,0.4542,0.545,0.9808,0.6322,3.2869
2.0,20.0,3,104.6,120.8567,1717.16,33.7436,117.9105,0.2687,0.6838,0.9808,0.6319,3.3947
0.0,30.0,3,104.8333,112.5667,1704.23,35.8378,109.6042,0.0252,0.7538,0.9807,0.6319,3.8031
2.0,15.0,3,105.0967,124.73,1703.71,33.8087,122.2611,0.2865,0.6489,0.9809,0.6322,3.403
4.0,5.0,3,105.2933,137.1067,1706.5733,32.0291,132.2462,0.4512,0.3759,0.9799,0.6315,3.1618
0.0,25.0,3,105.4033,116.3667,1704.96,35.7991,114.2665,0.0254,0.7235,0.9811,0.6325,3.4922
4.0,0.0,3,105.7433,140.0833,1710.5733,31.829,136.8666,0.4675,0.0304,0.9802,0.6317,3.4788
2.0,10.0,3,105.7867,131.2933,1711.48,33.6573,127.8671,0.2811,0.5579,0.9801,0.6319,3.2223
0.0,20.0,3,105.9267,122.07,1707.0133,35.5786,119.4152,0.0249,0.6745,0.9809,0.6322,3.5393
2.0,5.0,3,106.3633,135.4933,1710.7367,33.8205,131.3161,0.2782,0.4143,0.9803,0.6317,3.2521
0.0,15.0,3,106.5833,126.9833,1703.8833,35.7857,123.4766,0.0258,0.6292,0.9814,0.6323,3.3512
2.0,0.0,3,107.0533,140.4433,1712.3433,33.7805,136.8348,0.2727,0.0327,0.9804,0.6314,3.2914
0.0,10.0,3,107.15,131.9167,1702.3633,35.8518,127.913,0.0256,0.5463,0.9813,0.6322,3.658
0.0,5.0,3,107.86,137.5867,1706.2267,35.8519,132.5315,0.0252,0.4027,0.9806,0.6318,3.1785
0.0,0.0,3,108.3467,141.15,1711.4967,35.7767,136.8268,0.0252,0.0327,0.9807,0.6316,3.4116
